,variable,unit,value,Stellar flux,assumption
436,q1,kg/kg,0.006537478183066842,1565.6565656565658,WBG
437,q2,kg/kg,0.0014169827353918522,1565.6565656565658,WBG
438,q3,kg/kg,0.0005313685257719446,1565.6565656565658,WBG
439,alpha_p,,0.4829870416080257,1565.6565656565658,WBG
440,epsilon2,,0.7575555665786585,1565.6565656565658,WBG
441,epsilon3,,0.41220000045532434,1565.6565656565658,WBG
442,T1,K,282.4701833669587,1601.0101010101012,WTG
443,T2,K,256.96447677319986,1601.0101010101012,WTG
444,T3,K,256.96447677319986,1601.0101010101012,WTG
445,T4,K,224.62389144622864,1601.0101010101012,WTG
446,Fa,W/$m^2$,188.7062332266459,1601.0101010101012,WTG
447,Fc,W/$m^2$,228.40820556303674,1601.0101010101012,WTG
448,fc,,0.4348402378983017,1601.0101010101012,WTG
449,q1,kg/kg,0.006761943628809972,1601.0101010101012,WTG
450,q2,kg/kg,0.0015047212060932634,1601.0101010101012,WTG
451,q3,kg/kg,0.0005642704522849738,1601.0101010101012,WTG
452,alpha_p,,0.48570461648745455,1601.0101010101012,WTG
453,epsilon2,,0.7779208004702753,1601.0101010101012,WTG
454,epsilon3,,0.4312250561073272,1601.0101010101012,WTG
